input bits,output bits,mean,standard deviation,min error,max error
4,4,0.0078125,0.227857,-0.457107,0.457107
4,5,-1.38778e-17,0.1367,-0.242317,0.25
4,6,-0.00390625,0.0746877,-0.144607,0.144607
4,7,-0.00390625,0.0457313,-0.0860666,0.0860666
4,8,-0.00146484,0.042771,-0.101692,0.101692
4,9,-0.000488281,0.0430602,-0.109504,0.109504
4,10,-0.000366211,0.0420151,-0.105598,0.105598
4,11,-1.38778e-17,0.0413727,-0.0997384,0.0997384
4,12,-9.15527e-05,0.0417262,-0.101692,0.101692
4,13,-3.05176e-05,0.0417867,-0.101203,0.101203
4,14,-7.62939e-06,0.0417668,-0.100959,0.100959
4,15,-1.38778e-17,0.0417456,-0.100959,0.100959
4,16,-1.90735e-06,0.0417521,-0.100959,0.100959
4,17,-1.38778e-17,0.0417594,-0.100929,0.100929
4,18,-4.76837e-07,0.0417611,-0.100944,0.100944
4,19,-1.38778e-17,0.0417609,-0.100952,0.100952
4,20,1.19209e-07,0.04176,-0.100944,0.10094
4,21,-1.38778e-17,0.041761,-0.100944,0.100944
4,22,-2.98023e-08,0.0417607,-0.100944,0.100942
4,23,-1.49012e-08,0.0417607,-0.100943,0.100943
4,24,-1.38778e-17,0.0417607,-0.100943,0.100943
4,25,-7.45058e-09,0.0417607,-0.100943,0.100943
4,26,-1.38778e-17,0.0417606,-0.100943,0.100943
4,27,1.86265e-09,0.0417606,-0.100943,0.100943
4,28,4.65661e-10,0.0417606,-0.100943,0.100943
4,29,2.32831e-10,0.0417606,-0.100943,0.100943
4,30,-2.32831e-10,0.0417606,-0.100943,0.100943
4,31,5.82076e-11,0.0417606,-0.100943,0.100943
4,32,-5.82077e-11,0.0417606,-0.100943,0.100943
5,4,-0.00390625,0.229084,-0.58147,0.58147
5,5,-0.0117188,0.127821,-0.269215,0.25
5,6,-0.00488281,0.0674314,-0.144607,0.144607
5,7,-0.00439453,0.0481103,-0.101433,0.13259
5,8,-0.00146484,0.0383386,-0.10134,0.10134
5,9,-0.000366211,0.0350115,-0.0935278,0.0935278
5,10,-0.00012207,0.0349298,-0.0896216,0.0935278
5,11,-9.15527e-05,0.0350946,-0.0915747,0.0896216
5,12,-3.05176e-05,0.0350685,-0.088645,0.088645
5,13,-7.62939e-06,0.0352666,-0.088645,0.088645
5,14,-7.62939e-06,0.035242,-0.0879126,0.0879126
5,15,-1.90735e-06,0.035244,-0.0880347,0.0880347
5,16,-1.90735e-06,0.0352198,-0.0878516,0.0878516
5,17,-1.73472e-17,0.0352255,-0.0878516,0.0878516
5,18,-1.19209e-06,0.0352271,-0.0878516,0.0878516
5,19,-4.76837e-07,0.0352276,-0.0878439,0.0878363
5,20,-1.19209e-07,0.0352276,-0.0878325,0.0878325
5,21,-2.98023e-08,0.0352274,-0.0878306,0.0878325
5,22,-1.73472e-17,0.0352274,-0.0878306,0.0878306
5,23,-1.49012e-08,0.0352273,-0.0878296,0.0878291
5,24,-1.73472e-17,0.0352274,-0.0878289,0.0878289
5,25,-1.73472e-17,0.0352274,-0.0878289,0.0878289
5,26,-1.73472e-17,0.0352274,-0.0878288,0.0878288
5,27,-1.73472e-17,0.0352274,-0.0878288,0.0878288
5,28,-9.31323e-10,0.0352274,-0.0878288,0.0878288
5,29,-4.65661e-10,0.0352274,-0.0878288,0.0878288
5,30,-1.16415e-10,0.0352274,-0.0878288,0.0878288
5,31,-8.73115e-11,0.0352274,-0.0878288,0.0878288
5,32,-1.45519e-11,0.0352274,-0.0878288,0.0878288
6,4,-0.00976563,0.233696,-0.58147,0.58147
6,5,-0.0175781,0.111311,-0.269215,0.25
6,6,-0.00244141,0.0620797,-0.144607,0.1875
6,7,-0.00170898,0.0410804,-0.0963967,0.0819403
6,8,-0.00109863,0.020652,-0.0582329,0.0426079
6,9,-6.10352e-05,0.0147213,-0.0347954,0.0313791
6,10,-0.000274658,0.0137506,-0.0338967,0.0313791
6,11,-0.000213623,0.0133547,-0.0338967,0.0319436
6,12,-3.8147e-05,0.0130607,-0.0323556,0.0323556
6,13,-2.28882e-05,0.0129162,-0.0318673,0.0318673
6,14,-2.47955e-05,0.012896,-0.0311349,0.0311349
6,15,-3.8147e-06,0.01292,-0.031257,0.031257
6,16,-2.86102e-06,0.0129155,-0.031318,0.031318
6,17,-4.52995e-06,0.0129216,-0.0312875,0.0312875
6,18,-1.43051e-06,0.0129251,-0.0312875,0.0312875
6,19,-3.57628e-07,0.0129266,-0.0313028,0.0312951
6,20,-2.98023e-08,0.012927,-0.031299,0.031299
6,21,-2.98023e-08,0.0129268,-0.0312971,0.0312971
6,22,-1.49012e-08,0.0129266,-0.0312932,0.0312951
6,23,-3.72529e-09,0.0129266,-0.0312942,0.0312937
6,24,-1.67638e-08,0.0129266,-0.031294,0.0312937
6,25,-4.65661e-09,0.0129266,-0.031294,0.0312938
